,title,subtitle,property_type_left,property_size,bedrooms,bathrooms,price,location,reference,trakheesi_permit,listed,completion,show_property_floor_plan,trade_name,issue_date,property_number,property_name,property_type_right,sub_location_1,sub_location_2,sub_location_3,sorensen_score,jaccard_score
632,Apartment for Sale in Dream Towers - Dubai Marina,Fully furnished / Vacant / 1 Bed,Apartment,695 sqft / 65 sqm,1,2,750000.0,Dream Towers Dubai - Dubai Marina,SALE014220,1307008702,12 days ago,,,DACHA REAL ESTATE,23122019,140,,Land,dubai marina,dream towers,,0.0,0.0
633,Apartment for Sale in Dream Towers - Dubai Marina,Fully furnished / Vacant / 1 Bed,Apartment,695 sqft / 65 sqm,1,2,750000.0,Dream Towers Dubai - Dubai Marina,SALE013828,1307008702,2 months ago,,,DACHA REAL ESTATE,23122019,140,,Land,dubai marina,dream towers,,0.0,0.0
634,Apartment for Sale in Marina Quay North - Marina Quays,Marina Views | Large Corner Unit | VOT,Apartment,1500 sqft / 139 sqm,2,3,1650000.0,Marina Quay North 3.8 /56 Reviews Dubai - Dubai Marina - Marina Quays,ES-1001024,181279417,12 days ago,Ready,,ESPACE REAL ESTATE BROKER,21102019,406,Marina Quay North,Unit,dubai marina,marina quays,marina quay north,0.75,0.6
635,Apartment for Sale in Marina Quay North - Marina Quays,Marina Views | Large Corner Unit | VOT,Apartment,1500 sqft / 139 sqm,2,3,1650000.0,Marina Quay North 3.8 /56 Reviews Dubai - Dubai Marina - Marina Quays,ES-11781,181279417,5 months ago,Ready,,ESPACE REAL ESTATE BROKER,21102019,406,Marina Quay North,Unit,dubai marina,marina quays,marina quay north,0.75,0.6
636,Apartment for Sale in Time Place Tower - Dubai Marina,GREAT DEAL / Amazing 1 BED / Low Floor,Apartment,692 sqft / 64 sqm,1,2,560000.0,Time Place Tower 3.1 /54 Reviews Dubai - Dubai Marina,SALE014219,1785870349,12 days ago,,,DACHA REAL ESTATE,27012020,98,,Land,dubai marina,time place tower,,0.0,0.0
637,Apartment for Sale in Time Place Tower - Dubai Marina,GREAT DEAL / Amazing 1 BED / Low Floor,Apartment,692 sqft / 64 sqm,1,2,600000.0,Time Place Tower 3.1 /54 Reviews Dubai - Dubai Marina,SALE013791,1785870349,2 months ago,,,DACHA REAL ESTATE,27012020,98,,Land,dubai marina,time place tower,,0.0,0.0
638,Apartment for Sale in Marina Gate 2 - Marina Gate,1 Bed Prime Location | Full Marina View,Apartment,849 sqft / 79 sqm,1,1,1550000.0,Marina Gate 2 Dubai - Dubai Marina - Marina Gate,ES-1001012,1855922645,13 days ago,Ready,,ESPACE REAL ESTATE BROKER,9092019,1495,1 GATE 1SELECT GLOBAL,,dubai marina,marina gate,marina gate 2,0.25,0.14
639,Apartment for Sale in Marina Gate 1 - Marina Gate,Great Investment | Marina View | Type 1A,Apartment,902 sqft / 84 sqm,1,1,1400000.0,Marina Gate 1 3.3 /54 Reviews Dubai - Dubai Marina - Marina Gate,ES-1000868,1855922645,3 days ago,Ready,,ESPACE REAL ESTATE BROKER,9092019,1495,1 GATE 1SELECT GLOBAL,,dubai marina,marina gate,marina gate 1,0.5,0.33
640,Apartment for Sale in Marina Gate 2 - Marina Gate,1 Bed Prime Location | Full Marina View,Apartment,849 sqft / 79 sqm,1,1,1550000.0,Marina Gate 2 Dubai - Dubai Marina - Marina Gate,ES-12123,1855922645,6 months ago,Ready,,ESPACE REAL ESTATE BROKER,9092019,1495,1 GATE 1SELECT GLOBAL,,dubai marina,marina gate,marina gate 2,0.25,0.14
641,Apartment for Sale in Trident Waterfront - Dubai Marina,3 Bed | Maids | Storage Room | 2326 Sqft,Apartment,2326 sqft / 216 sqm,3 + Maid,4,2299999.0,Trident Waterfront Dubai - Dubai Marina,ES-1001013,1583495766,13 days ago,Ready,,ESPACE REAL ESTATE BROKER,17092019,402,WATERFRONT WATERFRONT,Unit,dubai marina,trident waterfront,,0.4,0.25
642,Apartment for Sale in Trident Waterfront - Dubai Marina,3 Bed | Maids | Storage Room | 2326 Sqft,Apartment,2326 sqft / 216 sqm,3 + Maid,4,2299999.0,Trident Waterfront Dubai - Dubai Marina,ES-12215,1583495766,6 months ago,Ready,,ESPACE REAL ESTATE BROKER,17092019,402,WATERFRONT WATERFRONT,Unit,dubai marina,trident waterfront,,0.4,0.25
643,Apartment for Sale in Marina Pearl - Dubai Marina,Dubai Marina - Spacious Bright Comfortable Studio,Apartment,481 sqft / 45 sqm,studio,1,399999.0,Marina Pearl Dubai - Dubai Marina,aeontrisl-2127221,7124750100,13 days ago,Ready,,AEON TRISL REAL ESTATE BROKER LLC,18062020,,MARINA PEARL,Unit,dubai marina,marina pearl,,0.8,0.67
644,Apartment for Sale in Elite Residence - Dubai Marina,Investment Deal 2bed Well Maintained Tenanted,Apartment,1330 sqft / 124 sqm,2,3,1350000.0,Elite Residence 4.0 /520 Reviews Dubai - Dubai Marina,aras-S-2127137,7148111300,13 days ago,Ready,,A R A S REAL ESTATE LLC,20082020,,ELITE RESIDENCE,Unit,dubai marina,elite residence,,0.67,0.5
645,Apartment for Sale in Botanica Tower - Dubai Marina,Exclusive | Great Condition | Ready to Move-In,Apartment,470 sqft / 44 sqm,studio,1,750000.0,Botanica Tower 3.7 /53 Reviews Dubai - Dubai Marina,EVO-S-16035,7144300110,13 days ago,Ready,,EV REAL ESTATE BROKERAGE LLC,5072020,,BOTANICA TOWER1 1,Unit,dubai marina,botanica tower,,0.29,0.17
646,Apartment for Sale in Marina Terrace - Dubai Marina,Furnished 3 Bed with Marina and sea views - Marina,Apartment,1803 sqft / 168 sqm,3,3,1950000.0,Marina Terrace 4 /55 Reviews Dubai - Dubai Marina,PKS-0016,1797836278,13 days ago,Ready,,PK PROPERTIES,8042020,,MARINA TERRACE,Unit,dubai marina,marina terra,,0.4,0.25
647,Penthouse for Sale in Elite Residence - Dubai Marina,Penthouse | High Floor | 4 Beds | Maids,Penthouse,3692 sqft / 343 sqm,4,4,4500000.0,Elite Residence 4.0 /520 Reviews Dubai - Dubai Marina,SUP162703,7148119170,13 days ago,Ready,,BROKER LLC,9122019,,ELITE RESIDENCE,Unit,dubai marina,elite residence,,0.67,0.5
648,Apartment for Sale in Marina Arcade Tower - Dubai Marina,Pay 25% Move In I 5Yrs Post Handover Payment Plan,Apartment,1679 sqft / 156 sqm,1 + Maid,2,2100000.0,Marina Arcade Tower 4.6 /52 Reviews Dubai - Dubai Marina,BS-2127210,6714932800,13 days ago,Ready,,BRICKSTONE REAL ESTATE L L C,10062020,,SAMAR 4 4,Building,dubai marina,marina arcade tower,,0.0,0.0
649,Apartment for Sale in Marina Arcade Tower - Dubai Marina,Pay 25% | 2BR | 5 Year Post Handover Payment Plan,Apartment,1215 sqft / 113 sqm,2,4,1872640.0,Marina Arcade Tower 4.6 /52 Reviews Dubai - Dubai Marina,BS-2127241,6714932800,13 days ago,Ready,,BRICKSTONE REAL ESTATE L L C,10062020,,SAMAR 4 4,Building,dubai marina,marina arcade tower,,0.0,0.0
650,Apartment for Sale in The Address Dubai Marina - Dubai Marina,Serviced Apartment | Studio | Marina Views,Apartment,545 sqft / 51 sqm,studio,1,900000.0,The Address Dubai Marina 4.5 /517 Reviews Dubai - Dubai Marina,prestigedubai-2102205,1736636635,13 days ago,Ready,,PRESTIGE REAL ESTATE BROKERS,25022020,,Goldcrest Views,Unit,dubai marina,the address dubai marina,,0.0,0.0
651,Apartment for Sale in Paloma Tower - Marina Promenade,Spacious 2 Bed | Marina Views | Mid Floor,Apartment,1443 sqft / 134 sqm,2,3,2000000.0,Paloma Tower 4.5 /57 Reviews Dubai - Dubai Marina - Marina Promenade,SUP171615,7123548300,13 days ago,Ready,,BETTER HOMES LLC,30032020,1001,Paloma x3 3,Unit,dubai marina,marina promenade,paloma tower,0.25,0.14
652,Apartment for Sale in Paloma Tower - Marina Promenade,Exclusive | 2 Bed | 3 Bathrooms | Vacant,Apartment,1443 sqft / 134 sqm,2,3,2099950.0,Paloma Tower 4.5 /57 Reviews Dubai - Dubai Marina - Marina Promenade,ES-13260,7123548300,3 hours ago,Ready,,BETTER HOMES LLC,30032020,1001,Paloma x3 3,Unit,dubai marina,marina promenade,paloma tower,0.25,0.14
653,Apartment for Sale in Paloma Tower - Marina Promenade,Marina View | Vacant Soon | Lower Floor,Apartment,1443 sqft / 134 sqm,2,2,2000000.0,Paloma Tower 4.5 /57 Reviews Dubai - Dubai Marina - Marina Promenade,AP75626,7123548300,4 hours ago,Ready,,BETTER HOMES LLC,30032020,1001,Paloma x3 3,Unit,dubai marina,marina promenade,paloma tower,0.25,0.14
654,Apartment for Sale in DEC Towers - Dubai Marina,FOR SALE - Studio Apt in DEC Tower,Apartment,550 sqft / 51 sqm,studio,1,530000.0,DEC Towers Dubai - Dubai Marina,mypropertiesdxb-2127217,2053084783,13 days ago,Ready,,M Y PROPERTIES,15012020,P334,DEC TOWERS T3 3,Unit,dubai marina,dec towers,,0.5,0.33
655,Apartment for Sale in DEC Towers - Dubai Marina,FOR SALE - Studio Apt in DEC Tower,Apartment,550 sqft / 51 sqm,studio,1,530000.0,DEC Towers Dubai - Dubai Marina,mypropertiesdxb-2042639,2053084783,2 months ago,Ready,,M Y PROPERTIES,15012020,P334,DEC TOWERS T3 3,Unit,dubai marina,dec towers,,0.5,0.33
656,Apartment for Sale in Beauport Tower - Marina Promenade,Dubai Marina Specialist / Full Marina View,Apartment,1500 sqft / 139 sqm,2,3,1949998.0,Beauport Tower Dubai - Dubai Marina - Marina Promenade,LXF-S-1954,610631075,13 days ago,Ready,,LUXFOLIO REAL ESTATE BROKERS LLC,1022020,1002,WEST AVENUE,Unit,dubai marina,marina promenade,beauport tower,0.0,0.0
657,Apartment for Sale in West Avenue Tower - Dubai Marina,High ROI - Prime Location - Marina View,Apartment,714 sqft / 66 sqm,1,2,830000.0,West Avenue Tower 3.6 /54 Reviews Dubai - Dubai Marina,LXF-S-1831,610631075,1 month ago,Ready,,LUXFOLIO REAL ESTATE BROKERS LLC,1022020,1002,WEST AVENUE,Unit,dubai marina,west avenue tower,,0.57,0.4
658,Apartment for Sale in Beauport Tower - Marina Promenade,Dubai Marina Specialist / Full Marina View,Apartment,1500 sqft / 139 sqm,2,3,2300000.0,Beauport Tower Dubai - Dubai Marina - Marina Promenade,LXF-S-1803,610631075,1 month ago,Ready,,LUXFOLIO REAL ESTATE BROKERS LLC,1022020,1002,WEST AVENUE,Unit,dubai marina,marina promenade,beauport tower,0.0,0.0
659,Apartment for Sale in Cayan Tower - Dubai Marina,4 BR + Maid's with Fabulous View of Sea and Marina,Apartment,2600 sqft / 242 sqm,4 + Maid,5,4500000.0,Cayan Tower 3.6 /521 Reviews Dubai - Dubai Marina,AP-S-22184,483216006,13 days ago,Ready,,ASTON PEARL REAL ESTATE BROKER,4022020,,CAYAN TOWER,Unit,dubai marina,cayan tower,,0.67,0.5
660,Apartment for Sale in Marina Gate 1 - Marina Gate,4 Bed Semi Furnished Apt for sale| Marina Gate 1,Apartment,2352 sqft / 219 sqm,4,5,4100000.0,Marina Gate 1 3.3 /54 Reviews Dubai - Dubai Marina - Marina Gate,PRB-S-3569,7118016357,13 days ago,Ready,,A1 PROPERTIES LLC,22072020,2601,THE RESIDENCES AT 1 MARINA GATE 1,Unit,dubai marina,marina gate,marina gate 1,0.6,0.43
661,Apartment for Sale in Marina Gate 1 - Marina Gate,4 Bed + Maid | Full Marina View | Vacant,Apartment,2352 sqft / 219 sqm,4,4,3990000.0,Marina Gate 1 3.3 /54 Reviews Dubai - Dubai Marina - Marina Gate,DUB191788,7118016357,22 days ago,Ready,,A1 PROPERTIES LLC,22072020,2601,THE RESIDENCES AT 1 MARINA GATE 1,Unit,dubai marina,marina gate,marina gate 1,0.6,0.43
662,Apartment for Sale in Marina Arcade Tower - Dubai Marina,Fully Furnished 2 BHK|Marina Arcade|Chiller Free |,Apartment,1618 sqft / 150 sqm,2,3,1975000.0,Marina Arcade Tower 4.6 /52 Reviews Dubai - Dubai Marina,2020269,359823181,13 days ago,Ready,,P S I REAL ESTATE LLC,8102019,1836,RAWDA APARTMENTS NSHAMA PROPERTIES OWNED,,dubai marina,marina arcade tower,,0.0,0.0
663,Apartment for Sale in Dream Tower 1 - Dream Towers,Fully furnished|Next to Metro station|Marina View,Apartment,691 sqft / 64 sqm,1,1,775000.0,Dream Tower 1 3.8 /56 Reviews Dubai - Dubai Marina - Dream Towers,2020183,359823181,13 days ago,Ready,,P S I REAL ESTATE LLC,8102019,1836,RAWDA APARTMENTS NSHAMA PROPERTIES OWNED,,dubai marina,dream towers,dream tower 1,0.0,0.0
664,Apartment for Sale in Bonaire Tower - Park Island,Vacant | Priced To Sell | Partial Sea View,Apartment,1302 sqft / 121 sqm,2,3,1700000.0,Bonaire Tower Dubai - Dubai Marina - Park Island,prestigedubai-2126802,7127398600,13 days ago,,,POSITIVE PROPERTIES,22032020,,PARK ISLAND BONAIRE,Unit,dubai marina,park island,bonaire tower,0.67,0.5
665,Apartment for Sale in Cayan Tower - Dubai Marina,Outstanding 1 BR with Full Marina View,Apartment,875 sqft / 81 sqm,1,2,1350000.0,Cayan Tower 3.6 /521 Reviews Dubai - Dubai Marina,redstone-2126770,1859663858,13 days ago,Ready,,RED STONE REAL ESTATE BROKER,4122019,4504,CAYAN TOWER,Unit,dubai marina,cayan tower,,0.67,0.5
666,Apartment for Sale in Cayan Tower - Dubai Marina,Outstanding 1 BR with Full Marina View,Apartment,875 sqft / 81 sqm,1,2,1350000.0,Cayan Tower 3.7 /520 Reviews Dubai - Dubai Marina,redstone-1933772,1859663858,5 months ago,Ready,,RED STONE REAL ESTATE BROKER,4122019,4504,CAYAN TOWER,Unit,dubai marina,cayan tower,,0.67,0.5
667,Apartment for Sale in Horizon Tower - Dubai Marina,Very Attractive Deal I High Floor 4 BR SZR View,Apartment,2450 sqft / 228 sqm,4,4,1800000.0,Horizon Tower 3.8 /58 Reviews Dubai - Dubai Marina,redstone-2126706,11965817,13 days ago,Ready,,RED STONE REAL ESTATE BROKER,4122019,3402,Horizon Tower Horizon Tower,Unit,dubai marina,horizon tower,,0.67,0.5
668,Apartment for Sale in Horizon Tower - Dubai Marina,Very Attractive Deal I High Floor 4 BR SZR View,Apartment,2450 sqft / 228 sqm,4,4,1800000.0,Horizon Tower 3.8 /58 Reviews Dubai - Dubai Marina,RS-AP2104,11965817,more than 6 months ago,Ready,,RED STONE REAL ESTATE BROKER,4122019,3402,Horizon Tower Horizon Tower,Unit,dubai marina,horizon tower,,0.67,0.5
669,Apartment for Sale in Marina Tower - Dubai Marina,Three Bedroom + Maids | Full Marina View,Apartment,1586 sqft / 147 sqm,3 + Maid,4,2350000.0,Marina Tower 4.4 /58 Reviews Dubai - Dubai Marina,ES-1000987,504977622,14 days ago,Ready,,ESPACE REAL ESTATE BROKER,19052020,1401,MARINA TOWER,Unit,dubai marina,marina tower,,0.8,0.67
670,Apartment for Sale in Marina Tower - Dubai Marina,Three Bedroom + Maids | Full Marina View,Apartment,1586 sqft / 147 sqm,3 + Maid,4,2350000.0,Marina Tower 4.4 /58 Reviews Dubai - Dubai Marina,ES-1000370,504977622,4 months ago,Ready,,ESPACE REAL ESTATE BROKER,19052020,1401,MARINA TOWER,Unit,dubai marina,marina tower,,0.8,0.67
671,Apartment for Sale in Trident Grand Residence - Dubai Marina,Motivated Seller | High Floor | Sea View,Apartment,1453 sqft / 135 sqm,2,3,2000000.0,Trident Grand Residence 4.0 /57 Reviews Dubai - Dubai Marina,ES-1000981,578711022,14 days ago,Ready,,ESPACE REAL ESTATE BROKER,8122019,1601,TRIDENT GRAND RESIDENCE,Unit,dubai marina,trident grand residence,,0.75,0.6
672,Apartment for Sale in Trident Grand Residence - Dubai Marina,Motivated Seller | High Floor | Sea View,Apartment,1453 sqft / 135 sqm,2,3,2000000.0,Trident Grand Residence 4.0 /57 Reviews Dubai - Dubai Marina,ES-6958,578711022,2 days ago,Ready,,ESPACE REAL ESTATE BROKER,8122019,1601,TRIDENT GRAND RESIDENCE,Unit,dubai marina,trident grand residence,,0.75,0.6
673,Penthouse for Sale in Marina Crown - Dubai Marina,4 Bedroom Penthouse with Full Sea View,Penthouse,4900 sqft / 455 sqm,4 + Maid,4,6500000.0,Marina Crown 2.7 /55 Reviews Dubai - Dubai Marina,ES-1000984,2147174078,14 days ago,Ready,,ESPACE REAL ESTATE BROKER,8122019,4803,MARINA CROWN TOWER,Unit,dubai marina,marina crown,,0.67,0.5
674,Penthouse for Sale in Marina Crown - Dubai Marina,4 Bedroom Penthouse with Full Sea View,Penthouse,4900 sqft / 455 sqm,4 + Maid,4,6500000.0,Marina Crown 2.7 /55 Reviews Dubai - Dubai Marina,ES-7391,2147174078,2 days ago,Ready,,ESPACE REAL ESTATE BROKER,8122019,4803,MARINA CROWN TOWER,Unit,dubai marina,marina crown,,0.67,0.5
675,Apartment for Sale in The Jewel Tower B - The Jewels,Amazing 1 Bedroom Apartment - The Jewel Tower.,Apartment,1105 sqft / 103 sqm,1,2,780000.0,The Jewel Tower B Dubai - Dubai Marina - The Jewels,ST-S-61089,855414366,14 days ago,,,S T CLAIR REAL ESTATES BROKER,25052020,505,The Jewels T2 2,Unit,dubai marina,the jewels,the jewel tower b,0.36,0.22
676,Apartment for Sale in The Jewel Tower B - The Jewels,Amazing 4 BHK at The Jewel Tower - Dubai Marina,Apartment,4488 sqft / 417 sqm,4 + Maid,5,3100000.0,The Jewel Tower B Dubai - Dubai Marina - The Jewels,ST-S-61058,855414366,1 hour ago,,,S T CLAIR REAL ESTATES BROKER,25052020,505,The Jewels T2 2,Unit,dubai marina,the jewels,the jewel tower b,0.36,0.22
677,Apartment for Sale in The Jewel Tower B - The Jewels,Amazing Full Marina View / Vacant En Suit 2BR,Apartment,2150 sqft / 200 sqm,2,3,1600000.0,The Jewel Tower B Dubai - Dubai Marina - The Jewels,ST-S-16223,855414366,5 months ago,Ready,,S T CLAIR REAL ESTATES BROKER,25052020,505,The Jewels T2 2,Unit,dubai marina,the jewels,the jewel tower b,0.36,0.22
678,Apartment for Sale in Damac Residenze - Dubai Marina,Ready | Full Sea View | 2-Year Post-Handover Plan,Apartment,1939 sqft / 180 sqm,3,4,3890000.0,Damac Residenze Dubai - Dubai Marina,PRD-S-8446,2130862568,14 days ago,Off-plan,,PROVIDENT REAL ESTATE BROKER LLC,27102019,4005,DAMAC HEIGHTS,Unit,dubai marina,damac residenze,,0.33,0.2
679,Apartment for Sale in Damac Residenze - Dubai Marina,Brand New | High Floor with Stunning Sea View,Apartment,1923 sqft / 179 sqm,3,4,3863000.0,Damac Residenze Dubai - Dubai Marina,PRD-S-8445,2130862568,14 days ago,Off-plan,,PROVIDENT REAL ESTATE BROKER LLC,27102019,4005,DAMAC HEIGHTS,Unit,dubai marina,damac residenze,,0.33,0.2
680,Apartment for Sale in Damac Heights - Dubai Marina,Stunning Sea View | High Floor Fendi | Rented,Apartment,1395 sqft / 130 sqm,2,3,2250000.0,Damac Heights 3.8 /57 Reviews Dubai - Dubai Marina,PRD-S-6735,2130862568,more than 6 months ago,Ready,,PROVIDENT REAL ESTATE BROKER LLC,27102019,4005,DAMAC HEIGHTS,Unit,dubai marina,damac heights,,0.67,0.5
681,Apartment for Sale in Elite Residence - Dubai Marina,Partial Marina | Vacant | Near Tram Station,Apartment,737 sqft / 68 sqm,1,2,650000.0,Elite Residence 4.0 /520 Reviews Dubai - Dubai Marina,SPR-S-0037,7148107370,14 days ago,Ready,,SPRING FIELD REAL ESTATE,2072020,,ELITE RESIDENCE,Unit,dubai marina,elite residence,,0.67,0.5
682,Apartment for Sale in 5242 - Dubai Marina,Huge 3 bed - Special 50/50 Post Handover PP,Apartment,1747 sqft / 162 sqm,3,3,3690888.0,5242 Dubai - Dubai Marina,PRD-S-7996,110204847,14 days ago,Off-plan,,PROVIDENT REAL ESTATE BROKER LLC,18062020,1747,5242 5242,,dubai marina,5242,,0.5,0.33
683,Apartment for Sale in 5242 - Dubai Marina,Move in Oct 2020 - Pay Only 50%  - 0 commission,Apartment,1724 sqft / 160 sqm,3,3,3259888.0,5242 Dubai - Dubai Marina,PRD-S-7995,110204847,14 days ago,Off-plan,,PROVIDENT REAL ESTATE BROKER LLC,18062020,1747,5242 5242,,dubai marina,5242,,0.5,0.33
684,Apartment for Sale in 5242 - Dubai Marina,Full Sea View - 3yrs Post Handover Payment Plan,Apartment,1608 sqft / 149 sqm,3,3,3352888.0,5242 Dubai - Dubai Marina,PRD-S-7994,110204847,14 days ago,Off-plan,,PROVIDENT REAL ESTATE BROKER LLC,18062020,1747,5242 5242,,dubai marina,5242,,0.5,0.33
685,Apartment for Sale in 5242 - Dubai Marina,Pay 50% and Get The Keys - No Commission Fees,Apartment,1747 sqft / 162 sqm,3,3,3648888.0,5242 Dubai - Dubai Marina,PRD-S-7993,110204847,14 days ago,Off-plan,,PROVIDENT REAL ESTATE BROKER LLC,18062020,1747,5242 5242,,dubai marina,5242,,0.5,0.33
686,Apartment for Sale in 5242 - Dubai Marina,Luxury Waterfront Units - Post Handover PP,Apartment,1120 sqft / 104 sqm,2,2,2220888.0,5242 Dubai - Dubai Marina,PRD-S-7992,110204847,14 days ago,Off-plan,,PROVIDENT REAL ESTATE BROKER LLC,18062020,1747,5242 5242,,dubai marina,5242,,0.5,0.33
687,Apartment for Sale in 5242 - Dubai Marina,Best Priced 2 bed - Ready by October 2020,Apartment,1120 sqft / 104 sqm,2,2,2193888.0,5242 Dubai - Dubai Marina,PRD-S-7991,110204847,14 days ago,Off-plan,,PROVIDENT REAL ESTATE BROKER LLC,18062020,1747,5242 5242,,dubai marina,5242,,0.5,0.33
688,Apartment for Sale in 5242 - Dubai Marina,Full Sea View - 3yrs Post Handover PP Offer,Apartment,1176 sqft / 109 sqm,2,2,2405888.0,5242 Dubai - Dubai Marina,PRD-S-7990,110204847,14 days ago,Off-plan,,PROVIDENT REAL ESTATE BROKER LLC,18062020,1747,5242 5242,,dubai marina,5242,,0.5,0.33
689,Apartment for Sale in 5242 - Dubai Marina,Cheapest 1BR Unit - No commission - Marina View,Apartment,992 sqft / 92 sqm,1,1,1964888.0,5242 Dubai - Dubai Marina,PRD-S-7989,110204847,14 days ago,Off-plan,,PROVIDENT REAL ESTATE BROKER LLC,18062020,1747,5242 5242,,dubai marina,5242,,0.5,0.33
690,Apartment for Sale in 5242 - Dubai Marina,50% and Move in - 50% Post Handover in 3yrs,Apartment,982 sqft / 91 sqm,1,1,2094888.0,5242 Dubai - Dubai Marina,PRD-S-7988,110204847,14 days ago,Off-plan,,PROVIDENT REAL ESTATE BROKER LLC,18062020,1747,5242 5242,,dubai marina,5242,,0.5,0.33
691,Apartment for Sale in 5242 - Dubai Marina,RESALE | High ROI | September Completion,Apartment,1065 sqft / 99 sqm,2,2,1650000.0,5242 Dubai - Dubai Marina,PRD-S-7805,110204847,3 months ago,Off-plan,,PROVIDENT REAL ESTATE BROKER LLC,18062020,1747,5242 5242,,dubai marina,5242,,0.5,0.33
692,Townhouse for Sale in Le Reve - Dubai Marina,High Floor Modern Penthouse in Le Reve,Townhouse,6200 sqft / 576 sqm,4,5,19000000.0,Le Reve 2.6 /55 Reviews Dubai - Dubai Marina,GS-S-30078,884213930,14 days ago,Ready,,LXT REAL ESTATE BROKER LLC,12022020,,,Land,dubai marina,le reve,,0.0,0.0
693,Townhouse for Sale in Princess Tower - Dubai Marina,Full Sea View | 4 Bedroom Penthouse,Townhouse,3199 sqft / 297 sqm,4,4,3300000.0,Princess Tower 3.8 /518 Reviews Dubai - Dubai Marina,GS-S-30019,1409428649,14 days ago,Ready,,LXT REAL ESTATE BROKER LLC,24092019,,,Land,dubai marina,princess tower,,0.0,0.0
694,Apartment for Sale in Marina Tower - Dubai Marina,Great Investment | Pool View | 1 Bedroom,Apartment,753 sqft / 70 sqm,1,1,920000.0,Marina Tower 4.4 /58 Reviews Dubai - Dubai Marina,ES-1000977,7185879670,14 days ago,Ready,,ESPACE REAL ESTATE BROKER,21062020,502,MARINA TOWER,Unit,dubai marina,marina tower,,0.8,0.67
695,Apartment for Sale in Marina Tower - Dubai Marina,Great Investment | Pool View | 1 Bedroom,Apartment,753 sqft / 70 sqm,1,1,920000.0,Marina Tower 4.4 /58 Reviews Dubai - Dubai Marina,ES-12420,7185879670,5 months ago,Ready,,ESPACE REAL ESTATE BROKER,21062020,502,MARINA TOWER,Unit,dubai marina,marina tower,,0.8,0.67
696,Apartment for Sale in Vida Residences Dubai Marina - Dubai Marina,Unique 1 Bed Apt with Full Marina Views,Apartment,700 sqft / 65 sqm,1,2,1450000.0,Vida Residences Dubai Marina Dubai - Dubai Marina,ush-2124756,1417150238,14 days ago,Off-plan,,BROKER,18052020,1404,DUBAI,,dubai marina,vida residences marina dubai,,0.4,0.25
697,Apartment for Sale in Vida Residences Dubai Marina - Dubai Marina,Amazing 3 Bed Apt with Full Marina and Water View.,Apartment,1670 sqft / 155 sqm,3,4,3150000.0,Vida Residences Dubai Marina Dubai - Dubai Marina,ush-2124673,1417150238,16 days ago,Off-plan,,BROKER,18052020,1404,DUBAI,,dubai marina,vida residences marina dubai,,0.4,0.25
698,Apartment for Sale in Vida Residences Dubai Marina - Dubai Marina,Amazing 2 Bed Apt Lower Than OP Genuine Listing,Apartment,1255 sqft / 117 sqm,2,2,1250000.0,Vida Residences Dubai Marina Dubai - Dubai Marina,ush-2115647,1417150238,5 days ago,Off-plan,,BROKER,18052020,1404,DUBAI,,dubai marina,vida residences marina dubai,,0.4,0.25
699,Apartment for Sale in Vida Residences Dubai Marina - Dubai Marina,GREAT SUMMER OFFER ON YOUR DREAM HOME IN MARINA,Apartment,1670 sqft / 155 sqm,3 + Maid,3,2808888.0,Vida Residences Dubai Marina Dubai - Dubai Marina,ush-2108433,1417150238,12 days ago,,,BROKER,18052020,1404,DUBAI,,dubai marina,vida residences marina dubai,,0.4,0.25
700,Apartment for Sale in Vida Residences Dubai Marina - Dubai Marina,UNOBSTRUCTED MARINA VIEWS I 2YRS NO SERVICE FEES,Apartment,1670 sqft / 155 sqm,3 + Maid,3,2808888.0,Vida Residences Dubai Marina Dubai - Dubai Marina,ush-2108407,1417150238,13 days ago,,,BROKER,18052020,1404,DUBAI,,dubai marina,vida residences marina dubai,,0.4,0.25
701,Apartment for Sale in Vida Residences Dubai Marina - Dubai Marina,Amazing 3 Bed Apt with Full Marina and Water View.,Apartment,1670 sqft / 155 sqm,3,4,3150000.0,Vida Residences Dubai Marina Dubai - Dubai Marina,ush-2099875,1417150238,19 days ago,Off-plan,,BROKER,18052020,1404,DUBAI,,dubai marina,vida residences marina dubai,,0.4,0.25
702,Apartment for Sale in Marina Gate - Dubai Marina,Marina View 3 BR Furnished Apartment,Apartment,1858 sqft / 173 sqm,3,4,3200000.0,Marina Gate Dubai - Dubai Marina,GS-S-29600,903426283,14 days ago,Ready,,LXT REAL ESTATE BROKER LLC,12022020,3622,,Land,dubai marina,marina gate,,0.0,0.0
703,Apartment for Sale in Marina Gate - Dubai Marina,Spectacular marina views and full skyline terrace,Apartment,1858 sqft / 173 sqm,3,4,3200000.0,Marina Gate Dubai - Dubai Marina,6614,903426283,6 days ago,Ready,,LXT REAL ESTATE BROKER LLC,12022020,3622,,Land,dubai marina,marina gate,,0.0,0.0
704,Apartment for Sale in Vida Residences Dubai Marina - Dubai Marina,High Floor Apartment with Payment Plan,Apartment,1158 sqft / 108 sqm,2,2,1450000.0,Vida Residences Dubai Marina Dubai - Dubai Marina,GS-S-29597,665959439,14 days ago,Off-plan,,LXT REAL ESTATE BROKER LLC,12022020,,,Land,dubai marina,vida residences marina dubai,,0.0,0.0
